County_Name,State_Abbr,Median_Income
Knox County,IL,53291
Lake County,IL,108917
LaSalle County,IL,72281
Lawrence County,IL,53438
Lee County,IL,68459
Livingston County,IL,70796
Logan County,IL,64188
McDonough County,IL,50434
McHenry County,IL,102836
McLean County,IL,78329
Macon County,IL,62449
Macoupin County,IL,68518
Madison County,IL,74800
Marion County,IL,60839
Marshall County,IL,69818
Mason County,IL,62127
Massac County,IL,62584
Menard County,IL,81334
Mercer County,IL,71710
Monroe County,IL,101635
Montgomery County,IL,61863
Morgan County,IL,65175
Moultrie County,IL,71676
Ogle County,IL,79244
Peoria County,IL,64938
Perry County,IL,59286
Piatt County,IL,87516
Pike County,IL,58029
Pope County,IL,62500
Pulaski County,IL,43227
Putnam County,IL,77526
Randolph County,IL,68870
Richland County,IL,60404
Rock Island County,IL,66768
St. Clair County,IL,70178
Saline County,IL,54945
Sangamon County,IL,74114
Schuyler County,IL,66059
Scott County,IL,73013
Shelby County,IL,68457
Stark County,IL,62284
Stephenson County,IL,61943
Tazewell County,IL,76704
Union County,IL,56420
Vermilion County,IL,54537
Wabash County,IL,53650
Warren County,IL,64650
Washington County,IL,75652
Wayne County,IL,53107
White County,IL,53097
Whiteside County,IL,64536
Will County,IL,107799
Williamson County,IL,65521
Winnebago County,IL,64363
Woodford County,IL,85629
Adams County,IN,63128
Allen County,IN,68839
Bartholomew County,IN,80365
Benton County,IN,61811
Blackford County,IN,47560
Boone County,IN,104865
Brown County,IN,72644
Carroll County,IN,64003
Cass County,IN,56525
Clark County,IN,72298
Clay County,IN,67676
Clinton County,IN,63690
Crawford County,IN,48993
Daviess County,IN,68561
Dearborn County,IN,82693
Decatur County,IN,74228
DeKalb County,IN,70080
Delaware County,IN,56932
Dubois County,IN,71918
Elkhart County,IN,65617
Fayette County,IN,56659
Floyd County,IN,78179
Fountain County,IN,62526
Franklin County,IN,79702
Fulton County,IN,62878
Gibson County,IN,67763
Grant County,IN,54007
Greene County,IN,59753
Hamilton County,IN,117957
Hancock County,IN,91326
Harrison County,IN,72468
Hendricks County,IN,99988
Henry County,IN,60144
Howard County,IN,62496
Huntington County,IN,62734
Jackson County,IN,70208
Jasper County,IN,79634
Jay County,IN,54114
Jefferson County,IN,59987
Jennings County,IN,68476
Johnson County,IN,87227
Knox County,IN,58863
Kosciusko County,IN,73922
LaGrange County,IN,83741
Lake County,IN,68985
LaPorte County,IN,70452
Lawrence County,IN,65551
Madison County,IN,62632
Marion County,IN,63450
Marshall County,IN,68041
Martin County,IN,65345
Miami County,IN,61130
Monroe County,IN,63372
Montgomery County,IN,66571
Morgan County,IN,79088
Newton County,IN,68596
Noble County,IN,70908
Ohio County,IN,67942
Orange County,IN,64758
Owen County,IN,59586
Parke County,IN,66776
Perry County,IN,61099
Pike County,IN,66250
Porter County,IN,85828
Posey County,IN,79124
Pulaski County,IN,59956
Putnam County,IN,76182
Randolph County,IN,61121
Ripley County,IN,71084
Rush County,IN,64393
St. Joseph County,IN,64885
Scott County,IN,54583
Shelby County,IN,71301
Spencer County,IN,70890
Starke County,IN,62933
Steuben County,IN,71483
Sullivan County,IN,54985
Switzerland County,IN,65148
Tippecanoe County,IN,58622
Tipton County,IN,78309
Union County,IN,79500
Vanderburgh County,IN,60938
Vermillion County,IN,59363
Vigo County,IN,52525
Wabash County,IN,68414
Warren County,IN,74635
Warrick County,IN,95027
Washington County,IN,61358
Wayne County,IN,56652
Wells County,IN,69741
White County,IN,66143
Whitley County,IN,75790
Adair County,IA,66176
Adams County,IA,68828
Allamakee County,IA,66000
Appanoose County,IA,51146
Audubon County,IA,54152
Benton County,IA,84742
Black Hawk County,IA,64581
Boone County,IA,79741
Bremer County,IA,83343
Buchanan County,IA,78430
Buena Vista County,IA,66564
Butler County,IA,69651
Calhoun County,IA,66875
Carroll County,IA,68528
Cass County,IA,61657
Cedar County,IA,79080
Cerro Gordo County,IA,65537
Cherokee County,IA,64478
Chickasaw County,IA,73421
Clarke County,IA,66821
Clay County,IA,64082
Clayton County,IA,62326
Clinton County,IA,65177
Crawford County,IA,65039
Dallas County,IA,102349
Davis County,IA,79505
Decatur County,IA,57146
Delaware County,IA,76205
Des Moines County,IA,60662
Dickinson County,IA,74570
Dubuque County,IA,75919
Emmet County,IA,65181
