,county,state,total_pop,white_male_pop,white_female_pop,racial_min_pop
324,Butler County,Kansas,817610,378812,372172,66626
325,Butler County,Kentucky,148670,72880,70580,5210
326,Butler County,Missouri,504456,219004,230908,54544
327,Butler County,Nebraska,100982,49718,47980,3284
328,Butler County,Ohio,4709468,1903994,1952854,852620
329,Butler County,Pennsylvania,2360068,1119362,1132094,108612
330,Butte County,California,2502554,1049372,1063062,390120
331,Butte County,Idaho,31994,15656,14928,1410
332,Butte County,South Dakota,127248,60302,57926,9020
333,Butts County,Georgia,315832,109988,104858,100986
334,Cabarrus County,North Carolina,2812928,959612,975456,877860
335,Cabell County,West Virginia,1116086,493670,520312,102104
336,Cache County,Utah,1666762,771282,770280,125200
337,Caddo County,Oklahoma,318358,119918,87588,110852
338,Caddo Parish,Louisiana,2775684,621898,651434,1502352
339,Calaveras County,California,553050,249806,248508,54736
340,Calcasieu Parish,Louisiana,2504448,868524,892162,743762
341,Caldwell County,Kentucky,151476,67984,70998,12494
342,Caldwell County,Missouri,106892,51644,50134,5114
343,Caldwell County,North Carolina,966704,436530,442376,87798
344,Caldwell County,Texas,578446,260240,255372,62834
345,Caldwell Parish,Louisiana,114292,46856,45326,22110
346,Caledonia County,Vermont,365214,174544,174630,16040
347,Calhoun County,Alabama,1393772,503382,526078,364312
348,Calhoun County,Arkansas,56524,21882,20670,13972
349,Calhoun County,Florida,162206,69316,63432,29458
350,Calhoun County,Georgia,66132,13872,8888,43372
351,Calhoun County,Illinois,52162,25868,25086,1208
352,Calhoun County,Iowa,117882,57642,54578,5662
353,Calhoun County,Michigan,1606398,638188,661404,306806
354,Calhoun County,Mississippi,155740,53222,54774,47744
355,Calhoun County,South Carolina,170064,49428,48438,72198
356,Calhoun County,Texas,238888,108284,103850,26754
357,Calhoun County,West Virginia,72932,35660,35544,1728
358,Callahan County,Texas,169828,79106,80174,10548
359,Callaway County,Missouri,535990,250286,238080,47624
360,Calloway County,Kentucky,457334,202440,214552,40342
361,Calumet County,Wisconsin,634298,302396,292890,39012
362,Calvert County,Maryland,1128698,448746,449462,230490
363,Camas County,Idaho,13884,6856,6246,782
364,Cambria County,Pennsylvania,1582308,730114,741540,110654
365,Camden County,Georgia,679242,267278,241752,170212
366,Camden County,Missouri,522156,249618,251056,21482
367,Camden County,New Jersey,6319580,2099966,2181528,2038086
368,Camden County,North Carolina,129978,54948,53672,21358
369,Cameron County,Pennsylvania,53362,26396,25164,1802
370,Cameron County,Texas,5103448,2431908,2506052,165488
371,Cameron Parish,Louisiana,61394,28518,28078,4798
372,Camp County,Texas,152916,57990,61586,33340
373,Campbell County,Kentucky,1120412,519820,528584,72008
374,Campbell County,South Dakota,16404,8276,7474,654
375,Campbell County,Tennessee,476164,229330,233714,13120
376,Campbell County,Virginia,664448,261588,275770,127090
377,Campbell County,Wyoming,566452,273924,261012,31516
378,Canadian County,Oklahoma,1998160,805850,820070,372240
379,Candler County,Georgia,132412,46780,47272,38360
380,Cannon County,Tennessee,177182,84190,83748,9244
381,Canyon County,Idaho,2970130,1372534,1379638,217958
382,Cape Girardeau County,Missouri,990772,419502,440990,130280
383,Cape May County,New Jersey,1139946,505844,538948,95154
384,Capitol Planning Region,Connecticut,11728272,4338912,4507792,2881568
385,Carbon County,Montana,132116,64570,61222,6324
386,Carbon County,Pennsylvania,783330,371326,370002,42002
387,Carbon County,Utah,245984,116070,116252,13662
388,Carbon County,Wyoming,173690,86640,75188,11862
389,Caribou County,Idaho,85682,42476,40474,2732
390,Carlisle County,Kentucky,57250,27142,26952,3156
391,Carlton County,Minnesota,437564,203404,185798,48362
392,Caroline County,Maryland,403286,159428,164932,78926
393,Caroline County,Virginia,382750,128164,129832,124754
394,Carroll County,Arkansas,342770,156034,155558,31178
395,Carroll County,Georgia,1483958,551250,565552,367156
396,Carroll County,Illinois,187186,91424,82952,12810
397,Carroll County,Indiana,245946,121070,117334,7542
398,Carroll County,Iowa,247476,119140,119842,8494
399,Carroll County,Kentucky,131146,61610,61616,7920
400,Carroll County,Maryland,2098982,943076,955898,200008
401,Carroll County,Mississippi,116864,38940,36138,41786
402,Carroll County,Missouri,101092,48130,48630,4332
403,Carroll County,New Hampshire,618242,299086,299042,20114
404,Carroll County,Ohio,320020,157196,152970,9854
405,Carroll County,Tennessee,343286,145610,150822,46854
406,Carroll County,Virginia,349876,169142,169494,11240
407,Carson City,Nevada,701124,316538,300134,84452
408,Carson County,Texas,69614,32920,32154,4540
409,Carter County,Kentucky,316670,152664,156252,7754
410,Carter County,Missouri,63376,29544,30776,3056
411,Carter County,Montana,16876,8296,7948,632
412,Carter County,Oklahoma,581556,209778,220188,151590
413,Carter County,Tennessee,679842,318586,329382,31874
414,Carteret County,North Carolina,826858,365260,380826,80772
415,Carver County,Minnesota,1314254,602788,597804,113662
416,Cascade County,Montana,1014886,454220,439632,121034
417,Casey County,Kentucky,191026,90918,93456,6652
418,Cass County,Illinois,153904,69332,69882,14690
419,Cass County,Indiana,452530,208078,208310,36142
420,Cass County,Iowa,157212,74746,76436,6030
421,Cass County,Michigan,618386,278828,274620,64938
422,Cass County,Minnesota,370090,161876,151430,56784
423,Cass County,Missouri,1323374,585856,607058,130460
424,Cass County,Nebraska,324812,158168,152750,13894
425,Cass County,North Dakota,2303060,1000314,970248,332498
426,Cass County,Texas,342580,133428,139910,69242
427,Cassia County,Idaho,304200,147556,138860,17784
428,Castro County,Texas,88182,42266,39240,6676
429,Caswell County,North Carolina,269520,88926,85778,94816
430,Catahoula Parish,Louisiana,103644,36206,34490,32948
431,Catawba County,North Carolina,1956950,799806,827010,330134
432,Catoosa County,Georgia,822082,368318,389942,63822
433,Catron County,New Mexico,44592,21102,19302,4188
434,Cattaraugus County,New York,915534,419860,416792,78882
435,Cavalier County,North Dakota,43750,21918,19792,2040
436,Cayuga County,New York,903514,417860,413052,72602
437,Cecil County,Maryland,1257048,543744,548048,165256
438,Cedar County,Iowa,220460,106418,106436,7606
439,Cedar County,Missouri,174524,83674,82998,7852
440,Cedar County,Nebraska,99908,50014,47264,2630
441,Centre County,Pennsylvania,1902086,865768,795038,241280
442,Cerro Gordo County,Iowa,512572,234590,245764,32218
443,Chaffee County,Colorado,240722,117294,107286,16142
444,Chambers County,Alabama,411306,113942,121422,175942
445,Chambers County,Texas,608070,266664,259700,81706
446,Champaign County,Illinois,2500318,879318,885484,735516
447,Champaign County,Ohio,465458,218878,220644,25936
448,Chariton County,Missouri,88732,42550,41738,4444
449,Charles City County,Virginia,79814,18684,17826,43304
450,Charles County,Maryland,2038468,393146,394392,1250930
451,Charles Mix County,South Dakota,111582,36196,36082,39304
452,Charleston County,South Carolina,5019702,1761574,1813878,1444250
453,Charlevoix County,Michigan,313174,148674,149022,15478
454,Charlotte County,Florida,2384286,1052846,1094620,236820
455,Charlotte County,Virginia,137282,48530,47720,41032
456,Charlottesville city,Virginia,547394,189880,199682,157832
457,Charlton County,Georgia,153212,59932,42246,51034
458,Chase County,Kansas,30762,15058,14060,1644
459,Chase County,Nebraska,45810,21998,22236,1576
460,Chatham County,Georgia,3599318,932284,965648,1701386
461,Chatham County,North Carolina,954020,379868,402680,171472
462,Chattahoochee County,Georgia,108012,49138,25414,33460
463,Chattooga County,Georgia,300306,129228,130102,40976
464,Chautauqua County,Kansas,40456,18134,16846,5476
465,Chautauqua County,New York,1510732,695526,710540,104666
466,Chaves County,New Mexico,772482,351922,351674,68886
467,Cheatham County,Tennessee,500328,235396,234288,30644
468,Cheboygan County,Michigan,309804,144632,141926,23246
469,Chelan County,Washington,960008,449724,442826,67458
470,Chemung County,New York,989770,424310,444260,121200
471,Chenango County,New York,557664,269492,267552,20620
472,Cherokee County,Alabama,304394,140654,141164,22576
473,Cherokee County,Georgia,3343516,1430800,1449458,463258
474,Cherokee County,Iowa,139314,66726,66692,5896
475,Cherokee County,Kansas,230224,101266,102846,26112
476,Cherokee County,North Carolina,353164,162062,166740,24362
477,Cherokee County,Oklahoma,573572,141024,148370,284178
478,Cherokee County,South Carolina,678922,257252,260012,161658
479,Cherokee County,Texas,619918,255406,248116,116396
480,Cherry County,Nebraska,65896,29690,27980,8226
481,Chesapeake city,Virginia,3024434,917574,917746,1189114
482,Cheshire County,New Hampshire,925872,434142,448140,43590
483,Chester County,Pennsylvania,6547234,2727738,2771676,1047820
484,Chester County,South Carolina,386418,115554,118724,152140
485,Chester County,Tennessee,210818,88896,94746,27176
486,Chesterfield County,South Carolina,524370,166020,165800,192550
487,Chesterfield County,Virginia,4506866,1480312,1538252,1488302
488,Cheyenne County,Colorado,20796,9664,9652,1480
489,Cheyenne County,Kansas,31508,15556,14744,1208
490,Cheyenne County,Nebraska,114264,54354,53762,6148
491,Chickasaw County,Iowa,142086,70210,68100,3776
492,Chickasaw County,Mississippi,203366,52964,53390,97012
493,Chicot County,Arkansas,118074,26778,24256,67040
494,Childress County,Texas,80762,38882,30372,11508
495,Chilton County,Alabama,549940,235396,242124,72420
496,Chippewa County,Michigan,436526,164322,144360,127844
497,Chippewa County,Minnesota,148986,68856,68322,11808
498,Chippewa County,Wisconsin,800590,390166,366724,43700
499,Chisago County,Minnesota,693144,334894,315904,42346
500,Chittenden County,Vermont,2034258,890678,925054,218526
501,Choctaw County,Alabama,149130,42274,43358,63498
502,Choctaw County,Mississippi,97670,32760,34210,30700
503,Choctaw County,Oklahoma,171386,50046,54732,66608
504,Chouteau County,Montana,70890,28722,27310,14858
505,Chowan County,North Carolina,165782,51214,54086,60482
506,Christian County,Illinois,403496,200750,182360,20386
507,Christian County,Kentucky,866288,328172,288852,249264
508,Christian County,Missouri,1106840,514970,533732,58138
510,Churchill County,Nevada,309098,132084,125756,51258
511,Cibola County,New Mexico,322558,81016,69948,171594
512,Cimarron County,Oklahoma,26762,12842,12266,1654
513,Citrus County,Florida,1932406,870308,916534,145564
514,Clackamas County,Oregon,5082604,2212456,2238834,631314
515,Claiborne County,Mississippi,104084,6270,5960,91854
516,Claiborne County,Tennessee,388732,183556,189096,16080
517,Claiborne Parish,Louisiana,166672,40576,37550,88546
518,Clallam County,Washington,932444,396858,409648,125938
519,Clare County,Michigan,373898,180670,179182,14046
520,Clarendon County,South Carolina,372142,95998,95548,180596
521,Clarion County,Pennsylvania,446262,212194,217498,16570
522,Clark County,Arkansas,254174,89452,94742,69980
523,Clark County,Idaho,9568,4484,4118,966
524,Clark County,Illinois,183618,89742,88670,5206
525,Clark County,Indiana,1485752,629888,655452,200412
526,Clark County,Kansas,23210,10696,11028,1486
527,Clark County,Kentucky,445914,201646,208740,35528
528,Clark County,Missouri,80024,40328,37456,2240
529,Clark County,Nevada,27828380,9570292,9174818,9083270
530,Clark County,Ohio,1623528,682686,714038,226804
531,Clark County,South Dakota,46850,23138,21698,2014
532,Clark County,Washington,6176210,2601612,2626214,948384
533,Clark County,Wisconsin,416622,205654,197642,13326
534,Clarke County,Alabama,271614,69654,72752,129208
535,Clarke County,Georgia,1553414,491600,519060,542754
536,Clarke County,Iowa,116118,56226,53624,6268
537,Clarke County,Mississippi,184364,57506,60424,66434
538,Clarke County,Virginia,181734,82012,82642,17080
