county_name,state_name,median_income
Harrison County,Iowa,77027
Henry County,Iowa,64604
Howard County,Iowa,67336
Humboldt County,Iowa,66994
Ida County,Iowa,62841
Iowa County,Iowa,72185
Jackson County,Iowa,71605
Jasper County,Iowa,70128
Jefferson County,Iowa,56824
Johnson County,Iowa,74721
Jones County,Iowa,73071
Keokuk County,Iowa,60856
Kossuth County,Iowa,65656
Lee County,Iowa,59803
Linn County,Iowa,76421
Louisa County,Iowa,80223
Lucas County,Iowa,67921
Lyon County,Iowa,72881
Madison County,Iowa,89542
Mahaska County,Iowa,69019
Marion County,Iowa,78059
Marshall County,Iowa,72785
Mills County,Iowa,87810
Mitchell County,Iowa,68704
Monona County,Iowa,62944
Monroe County,Iowa,72518
Montgomery County,Iowa,63190
Muscatine County,Iowa,69512
O'Brien County,Iowa,68216
Osceola County,Iowa,69138
Page County,Iowa,57752
Palo Alto County,Iowa,68963
Plymouth County,Iowa,81600
Pocahontas County,Iowa,63423
Polk County,Iowa,81621
Pottawattamie County,Iowa,71446
Poweshiek County,Iowa,64837
Ringgold County,Iowa,69821
Sac County,Iowa,70991
Scott County,Iowa,76363
Shelby County,Iowa,67690
Sioux County,Iowa,84736
Story County,Iowa,69006
Tama County,Iowa,67955
Taylor County,Iowa,67279
Union County,Iowa,56813
Van Buren County,Iowa,60183
Wapello County,Iowa,60034
Warren County,Iowa,92990
Washington County,Iowa,71339
Wayne County,Iowa,59118
Webster County,Iowa,68054
Winnebago County,Iowa,63719
Winneshiek County,Iowa,75652
Woodbury County,Iowa,70147
Worth County,Iowa,76875
Wright County,Iowa,64033
Allen County,Kansas,57618
Anderson County,Kansas,64925
Atchison County,Kansas,62164
Barber County,Kansas,57615
Barton County,Kansas,56733
Bourbon County,Kansas,67555
Brown County,Kansas,58886
Butler County,Kansas,80375
Chase County,Kansas,54518
Chautauqua County,Kansas,54592
Cherokee County,Kansas,58274
Cheyenne County,Kansas,55765
Clark County,Kansas,65515
Clay County,Kansas,63136
Cloud County,Kansas,57333
Coffey County,Kansas,67377
Comanche County,Kansas,49417
Cowley County,Kansas,58263
Crawford County,Kansas,50311
Decatur County,Kansas,52030
Dickinson County,Kansas,67982
Doniphan County,Kansas,72833
Douglas County,Kansas,68756
Edwards County,Kansas,53792
Elk County,Kansas,56087
Ellis County,Kansas,59889
Ellsworth County,Kansas,66792
Finney County,Kansas,72437
Ford County,Kansas,70495
Franklin County,Kansas,72142
Geary County,Kansas,57344
Gove County,Kansas,63203
Graham County,Kansas,52909
Grant County,Kansas,72484
Gray County,Kansas,77885
Greeley County,Kansas,78819
Greenwood County,Kansas,58276
Hamilton County,Kansas,61929
Harper County,Kansas,55417
Harvey County,Kansas,73269
Haskell County,Kansas,69138
Hodgeman County,Kansas,63125
Jackson County,Kansas,72703
Jefferson County,Kansas,77393
Jewell County,Kansas,52344
Johnson County,Kansas,107261
Kearny County,Kansas,74135
Kingman County,Kansas,59819
Kiowa County,Kansas,73214
Labette County,Kansas,55439
Lane County,Kansas,53042
Leavenworth County,Kansas,86906
Lincoln County,Kansas,53546
Linn County,Kansas,59200
Logan County,Kansas,71389
Lyon County,Kansas,59078
McPherson County,Kansas,77701
Marion County,Kansas,63438
Marshall County,Kansas,70828
Meade County,Kansas,74868
Miami County,Kansas,88000
Mitchell County,Kansas,58233
Montgomery County,Kansas,53242
Morris County,Kansas,56716
Morton County,Kansas,65625
Nemaha County,Kansas,77375
Neosho County,Kansas,55704
Ness County,Kansas,66107
Norton County,Kansas,50305
Osage County,Kansas,70216
Osborne County,Kansas,59408
Ottawa County,Kansas,76755
Pawnee County,Kansas,63625
Phillips County,Kansas,61235
Pottawatomie County,Kansas,87694
Pratt County,Kansas,64348
Rawlins County,Kansas,65000
Reno County,Kansas,60498
Republic County,Kansas,53611
Rice County,Kansas,63947
Riley County,Kansas,59560
Rooks County,Kansas,61596
Rush County,Kansas,60288
Russell County,Kansas,53902
Saline County,Kansas,63316
Scott County,Kansas,67788
Sedgwick County,Kansas,67675
Seward County,Kansas,62269
Shawnee County,Kansas,66043
Sheridan County,Kansas,70000
Sherman County,Kansas,64444
Smith County,Kansas,57024
Stafford County,Kansas,63786
Stanton County,Kansas,70361
Stevens County,Kansas,61909
Sumner County,Kansas,60348
Thomas County,Kansas,73575
Trego County,Kansas,73375
