county_name,state_name,state,is_desert
Crawford County,Iowa,IA,False
Lucas County,Iowa,IA,False
Douglas County,Missouri,MO,False
Osage County,Missouri,MO,False
Macon County,Missouri,MO,False
Mahoning County,Ohio,OH,False
Adair County,Oklahoma,OK,False
Saline County,Arkansas,AR,False
Stone County,Arkansas,AR,False
Humboldt County,Iowa,IA,False
Jasper County,Iowa,IA,False
Audubon County,Iowa,IA,True
Adams County,Iowa,IA,False
Ida County,Iowa,IA,False
Daviess County,Missouri,MO,False
Clinton County,Missouri,MO,False
DeKalb County,Missouri,MO,False
Delaware County,Oklahoma,OK,False
Ottawa County,Oklahoma,OK,False
Harney County,Oregon,OR,True
Garland County,Arkansas,AR,False
Newton County,Arkansas,AR,False
Pike County,Arkansas,AR,False
Plumas County,California,CA,False
Adams County,Colorado,CO,False
Gilpin County,Colorado,CO,False
Jefferson County,Kansas,KS,False
Wilson County,Kansas,KS,False
Lyon County,Kansas,KS,False
Russell County,Kansas,KS,False
Ford County,Kansas,KS,False
Franklin County,Missouri,MO,False
Polk County,Missouri,MO,False
Crawford County,Missouri,MO,False
Lincoln County,Oregon,OR,False
Tillamook County,Oregon,OR,False
Phillips County,Colorado,CO,True
Washington County,Colorado,CO,True
Clay County,Florida,FL,False
Wabaunsee County,Kansas,KS,False
Geary County,Kansas,KS,False
Lincoln County,Kansas,KS,False
Big Stone County,Minnesota,MN,False
Carlton County,Minnesota,MN,False
Hood River County,Oregon,OR,False
Tioga County,Pennsylvania,PA,False
Warren County,Pennsylvania,PA,False
Oconee County,South Carolina,SC,False
Lafayette County,Florida,FL,False
Cherokee County,Georgia,GA,False
Chase County,Kansas,KS,False
Hodgeman County,Kansas,KS,False
Marshall County,Kentucky,KY,False
Shelby County,Kentucky,KY,False
Jackson County,Mississippi,MS,False
Itawamba County,Mississippi,MS,False
Moody County,South Dakota,SD,False
Obion County,Tennessee,TN,False
Gordon County,Georgia,GA,False
Pike County,Georgia,GA,False
Franklin County,Kentucky,KY,False
Pulaski County,Kentucky,KY,False
Spencer County,Kentucky,KY,False
Marshall County,Mississippi,MS,False
Newton County,Missouri,MO,False
Hancock County,Tennessee,TN,False
Lincoln County,Tennessee,TN,False
Matagorda County,Texas,TX,True
Banks County,Georgia,GA,False
Johnson County,Georgia,GA,False
Gallatin County,Kentucky,KY,False
Robertson County,Kentucky,KY,False
Mississippi County,Missouri,MO,False
Pike County,Missouri,MO,False
Montague County,Texas,TX,False
Clay County,Texas,TX,False
Lipscomb County,Texas,TX,True
Ware County,Georgia,GA,False
Dawson County,Georgia,GA,False
Pickens County,Georgia,GA,False
Green County,Kentucky,KY,False
Casey County,Kentucky,KY,False
Harrison County,Missouri,MO,False
Vernon County,Missouri,MO,False
Hill County,Montana,MT,False
Cochran County,Texas,TX,False
Wilbarger County,Texas,TX,False
