county_name,state_name,population_18_24
Tama County,Iowa,15085
Taylor County,Iowa,5149
Union County,Iowa,11277
Van Buren County,Iowa,6084
Wapello County,Iowa,32214
Warren County,Iowa,50908
Washington County,Iowa,20503
Wayne County,Iowa,5890
Webster County,Iowa,34004
Winnebago County,Iowa,9783
Winneshiek County,Iowa,18012
Woodbury County,Iowa,103750
Worth County,Iowa,6056
Wright County,Iowa,12061
Allen County,Kansas,11100
Anderson County,Kansas,6956
Atchison County,Kansas,16418
Barber County,Kansas,3651
Barton County,Kansas,23224
Bourbon County,Kansas,13492
Brown County,Kansas,8218
Butler County,Kansas,64906
Chase County,Kansas,2131
Chautauqua County,Kansas,2775
Cherokee County,Kansas,16408
Cheyenne County,Kansas,2324
Clark County,Kansas,1718
Clay County,Kansas,6866
Cloud County,Kansas,8183
Coffey County,Kansas,7132
Comanche County,Kansas,1325
Cowley County,Kansas,32826
Crawford County,Kansas,40531
Decatur County,Kansas,1998
Dickinson County,Kansas,16149
Doniphan County,Kansas,6852
Douglas County,Kansas,130534
Edwards County,Kansas,2414
Elk County,Kansas,1952
Ellis County,Kansas,30760
Ellsworth County,Kansas,4976
Finney County,Kansas,40762
Ford County,Kansas,36236
Franklin County,Kansas,23697
Geary County,Kansas,42582
Gove County,Kansas,2534
Graham County,Kansas,2037
Grant County,Kansas,7531
Gray County,Kansas,5685
Greeley County,Kansas,1273
Greenwood County,Kansas,4708
Hamilton County,Kansas,2679
Harper County,Kansas,4993
Harvey County,Kansas,31773
Haskell County,Kansas,3647
Hodgeman County,Kansas,1450
Jackson County,Kansas,11760
Jefferson County,Kansas,15508
Jewell County,Kansas,2212
Johnson County,Kansas,573951
Kearny County,Kansas,3878
Kingman County,Kansas,6242
Kiowa County,Kansas,2197
Labette County,Kansas,17542
Lane County,Kansas,1212
Leavenworth County,Kansas,76036
Lincoln County,Kansas,2496
Linn County,Kansas,8145
Logan County,Kansas,2377
Lyon County,Kansas,33432
McPherson County,Kansas,28699
Marion County,Kansas,10501
Marshall County,Kansas,8604
Meade County,Kansas,3792
Miami County,Kansas,31128
Mitchell County,Kansas,5108
Montgomery County,Kansas,28420
Morris County,Kansas,4168
Morton County,Kansas,2377
Nemaha County,Kansas,9786
Neosho County,Kansas,14441
Ness County,Kansas,2337
Norton County,Kansas,4589
Osage County,Kansas,13615
Osborne County,Kansas,2872
Ottawa County,Kansas,4961
Pawnee County,Kansas,4731
Phillips County,Kansas,4117
Pottawatomie County,Kansas,25571
Pratt County,Kansas,8978
Rawlins County,Kansas,2037
Reno County,Kansas,55795
Republic County,Kansas,3911
Rice County,Kansas,8879
Riley County,Kansas,89464
Rooks County,Kansas,3937
Rush County,Kansas,2336
Russell County,Kansas,5651
Saline County,Kansas,49106
Scott County,Kansas,4665
Sedgwick County,Kansas,511564
Seward County,Kansas,23872
Shawnee County,Kansas,162373
Sheridan County,Kansas,2193
Sherman County,Kansas,5657
Smith County,Kansas,2813
Stafford County,Kansas,3583
Stanton County,Kansas,2084
Stevens County,Kansas,5577
Sumner County,Kansas,20327
Thomas County,Kansas,7863
Trego County,Kansas,2064
